date,department,patient_count,admissions,discharges,beds_occupied,total_beds,staff_on_duty,avg_wait_time,rain_flag
2023-01-01,ER,111,38,32,44,50,24,35.3,0
2023-01-01,ICU,15,10,7,14,20,25,23.1,0
2023-01-01,OPD,66,6,5,40,40,21,18.8,0
2023-01-01,SURGERY,27,14,13,16,25,16,55.1,0
2023-01-02,ER,146,51,43,50,50,21,58.8,0
2023-01-02,ICU,26,18,13,12,20,24,39.5,0
2023-01-02,OPD,111,11,9,32,40,15,27.2,0
2023-01-02,SURGERY,37,20,17,18,25,20,73.0,0
2023-01-03,ER,134,46,36,40,50,18,46.0,0
2023-01-03,ICU,28,19,17,17,20,20,35.9,0
2023-01-03,OPD,106,10,8,31,40,27,21.6,0
2023-01-03,SURGERY,28,15,13,19,25,22,51.5,0
2023-01-04,ER,152,53,45,46,50,15,57.1,0
2023-01-04,ICU,27,18,13,18,20,15,34.6,0
2023-01-04,OPD,85,8,6,38,40,23,23.6,0
2023-01-04,SURGERY,42,23,17,17,25,20,74.4,0
2023-01-05,ER,136,47,43,43,50,16,41.7,0
2023-01-05,ICU,25,17,15,17,20,21,36.7,0
2023-01-05,OPD,87,8,6,30,40,17,22.6,0
2023-01-05,SURGERY,35,19,14,20,25,18,59.8,0
2023-01-06,ER,116,40,29,37,50,21,41.6,0
2023-01-06,ICU,19,13,11,13,20,17,24.2,0
2023-01-06,OPD,111,11,9,27,40,20,31.5,0
2023-01-06,SURGERY,30,16,12,16,25,25,58.8,0
2023-01-07,ER,84,29,24,45,50,22,26.0,0
2023-01-07,ICU,10,7,4,17,20,19,13.2,0
2023-01-07,OPD,58,5,3,40,40,18,16.0,0
2023-01-07,SURGERY,19,10,8,23,25,23,38.1,0
2023-01-08,ER,139,48,35,31,50,18,55.3,0
2023-01-08,ICU,22,15,14,19,20,17,26.4,0
2023-01-08,OPD,58,5,3,39,40,15,16.2,0
2023-01-08,SURGERY,38,20,14,19,25,12,78.3,0
2023-01-09,ER,160,56,42,43,50,23,61.3,0
2023-01-09,ICU,23,16,14,20,20,25,28.7,0
