date,price,asset,monthly_return
2/1/2020,126.6693115,TATAMOTORS,-0.269818811
3/1/2020,69.79337311,TATAMOTORS,-0.449011191
4/1/2020,91.60072327,TATAMOTORS,0.312455885
5/1/2020,85.46126556,TATAMOTORS,-0.067024118
6/1/2020,96.51229858,TATAMOTORS,0.12931043
7/1/2020,102.7991028,TATAMOTORS,0.065139928
8/1/2020,140.6672821,TATAMOTORS,0.368370718
9/1/2020,130.9423828,TATAMOTORS,-0.069134053
10/1/2020,130.3038635,TATAMOTORS,-0.004876338
11/1/2020,177.1602325,TATAMOTORS,0.359593091
12/1/2020,180.5983429,TATAMOTORS,0.019406784
1/1/2021,258.0537415,TATAMOTORS,0.428882111
2/1/2021,317.2381287,TATAMOTORS,0.229349076
3/1/2021,296.4621887,TATAMOTORS,-0.065490047
4/1/2021,288.6528015,TATAMOTORS,-0.026341933
5/1/2021,313.1123962,TATAMOTORS,0.084737077
6/1/2021,333.5936584,TATAMOTORS,0.065411854
7/1/2021,288.7510071,TATAMOTORS,-0.134422973
8/1/2021,282.2186584,TATAMOTORS,-0.022622774
9/1/2021,327.4541931,TATAMOTORS,0.160285415
10/1/2021,475.144989,TATAMOTORS,0.451027347
11/1/2021,450.4889526,TATAMOTORS,-0.051891606
12/1/2021,473.867981,TATAMOTORS,0.051897007
1/1/2022,508.592804,TATAMOTORS,0.07327953
2/1/2022,446.0193787,TATAMOTORS,-0.123032463
3/1/2022,426.0784607,TATAMOTORS,-0.044708636
4/1/2022,429.8603516,TATAMOTORS,0.008876043
5/1/2022,435.7050781,TATAMOTORS,0.013596803
6/1/2022,404.5166626,TATAMOTORS,-0.071581483
7/1/2022,441.6481018,TATAMOTORS,0.091792113
8/1/2022,462.7678833,TATAMOTORS,0.047820383
9/1/2022,397.4440002,TATAMOTORS,-0.141159068
10/1/2022,405.4498596,TATAMOTORS,0.020143365
11/1/2022,431.62854,TATAMOTORS,0.064566998
12/1/2022,381.088501,TATAMOTORS,-0.117091513
1/1/2023,444.1039124,TATAMOTORS,0.165356371
2/1/2023,413.2592773,TATAMOTORS,-0.069453644
3/1/2023,413.3574829,TATAMOTORS,0.000237637
4/1/2023,476.3728943,TATAMOTORS,0.152447734
5/1/2023,516.9915161,TATAMOTORS,0.085266442
6/1/2023,585.0167847,TATAMOTORS,0.131579081
7/1/2023,632.90448,TATAMOTORS,0.08185696
8/1/2023,592.2103882,TATAMOTORS,-0.064297367
9/1/2023,620.9832764,TATAMOTORS,0.048585585
10/1/2023,619.4559937,TATAMOTORS,-0.002459459
11/1/2023,696.0689087,TATAMOTORS,0.123677736
12/1/2023,768.5432129,TATAMOTORS,0.104119439
1/1/2024,871.2685547,TATAMOTORS,0.133662415
2/1/2024,936.3032837,TATAMOTORS,0.074643723
3/1/2024,978.2802734,TATAMOTORS,0.044832684
4/1/2024,993.1594849,TATAMOTORS,0.015209559
5/1/2024,909.5010986,TATAMOTORS,-0.084234594
6/1/2024,975.2749023,TATAMOTORS,0.072318553
7/1/2024,1146.790161,TATAMOTORS,0.175863501
8/1/2024,1101.876221,TATAMOTORS,-0.039164916
9/1/2024,966.3416138,TATAMOTORS,-0.123003478
10/1/2024,826.9401245,TATAMOTORS,-0.144256945
11/1/2024,779.7459106,TATAMOTORS,-0.057070896
12/1/2024,733.8405762,TATAMOTORS,-0.058872171
2/1/2020,480.934021,ICICIBANK,-0.054028312
3/1/2020,313.1269836,ICICIBANK,-0.348919041
4/1/2020,367.6763916,ICICIBANK,0.174208583
5/1/2020,321.0579224,ICICIBANK,-0.12679212
6/1/2020,339.9180908,ICICIBANK,0.058743819
7/1/2020,335.4206238,ICICIBANK,-0.013231032
8/1/2020,381.6522217,ICICIBANK,0.137831709
9/1/2020,343.1097717,ICICIBANK,-0.100988407
10/1/2020,379.7178345,ICICIBANK,0.1066949
11/1/2020,457.8182373,ICICIBANK,0.205680102
12/1/2020,517.4937134,ICICIBANK,0.130347529
1/1/2021,519.3796997,ICICIBANK,0.003644462
2/1/2021,578.1363525,ICICIBANK,0.113128512
3/1/2021,562.9998779,ICICIBANK,-0.026181496
4/1/2021,580.7960815,ICICIBANK,0.031609605
5/1/2021,641.0036011,ICICIBANK,0.103663784
6/1/2021,610.1986694,ICICIBANK,-0.048057346
7/1/2021,660.1055298,ICICIBANK,0.081787888
8/1/2021,697.4925537,ICICIBANK,0.05663795
9/1/2021,679.8381958,ICICIBANK,-0.025311178
10/1/2021,778.0041504,ICICIBANK,0.144396057
11/1/2021,692.9334106,ICICIBANK,-0.109344841
12/1/2021,717.960022,ICICIBANK,0.036116907
1/1/2022,765.1513672,ICICIBANK,0.065729767
2/1/2022,720.4335327,ICICIBANK,-0.058443122
3/1/2022,708.4052124,ICICIBANK,-0.016695947
4/1/2022,721.0155029,ICICIBANK,0.017800957
5/1/2022,730.2791748,ICICIBANK,0.01284809
6/1/2022,685.9978027,ICICIBANK,-0.060636225
7/1/2022,794.0579834,ICICIBANK,0.157522634
8/1/2022,860.6983643,ICICIBANK,0.083923822
9/1/2022,841.1746216,ICICIBANK,-0.022683606
10/1/2022,886.7463989,ICICIBANK,0.054176358
11/1/2022,929.87854,ICICIBANK,0.048640898
12/1/2022,869.3275757,ICICIBANK,-0.065117068
1/1/2023,811.8018188,ICICIBANK,-0.066172705
2/1/2023,834.1973267,ICICIBANK,0.027587408
3/1/2023,856.0561523,ICICIBANK,0.026203423
4/1/2023,895.4801636,ICICIBANK,0.046053067
5/1/2023,926.2191162,ICICIBANK,0.034326782
6/1/2023,912.0205688,ICICIBANK,-0.015329577
7/1/2023,974.1816406,ICICIBANK,0.068157533
8/1/2023,935.5871582,ICICIBANK,-0.039617337
9/1/2023,936.5487671,ICICIBANK,0.001027813
10/1/2023,900.5881348,ICICIBANK,-0.038396967
11/1/2023,919.8721313,ICICIBANK,0.02141267
12/1/2023,980.527832,ICICIBANK,0.065939274
1/1/2024,1011.569092,ICICIBANK,0.031657704
2/1/2024,1035.231201,ICICIBANK,0.023391491
3/1/2024,1075.668457,ICICIBANK,0.039061087
4/1/2024,1131.847534,ICICIBANK,0.052227131
5/1/2024,1102.970947,ICICIBANK,-0.025512789
6/1/2024,1180.25415,ICICIBANK,0.070068213
7/1/2024,1195.307373,ICICIBANK,0.012754222
8/1/2024,1209.376709,ICICIBANK,0.011770475
9/1/2024,1263.252686,ICICIBANK,0.044548549
10/1/2024,1282.355225,ICICIBANK,0.015121709
11/1/2024,1290.145142,ICICIBANK,0.006074695
12/1/2024,1271.836426,ICICIBANK,-0.014191206
2/1/2020,153.8312378,ITC,-0.159897896
3/1/2020,133.7019653,ITC,-0.130852958
4/1/2020,141.7614594,ITC,0.060279548
5/1/2020,153.6755066,ITC,0.084042921
6/1/2020,151.5730286,ITC,-0.013681282
7/1/2020,151.1836548,ITC,-0.002568886
8/1/2020,156.4601746,ITC,0.034901391
9/1/2020,140.5767212,ITC,-0.101517549
10/1/2020,135.2958832,ITC,-0.037565523
11/1/2020,158.5478973,ITC,0.17186047
12/1/2020,171.1154938,ITC,0.079266876
1/1/2021,166.4077759,ITC,-0.027511932
2/1/2021,166.8990021,ITC,0.002951943
3/1/2021,183.1336517,ITC,0.097272299
4/1/2021,169.8072357,ITC,-0.0727688
5/1/2021,181.5411835,ITC,0.069101577
6/1/2021,169.8910522,ITC,-0.06417349
7/1/2021,176.5542145,ITC,0.039220207
8/1/2021,182.0244293,ITC,0.030983201
9/1/2021,203.4314423,ITC,0.117605165
10/1/2021,192.2756805,ITC,-0.054837943
11/1/2021,190.5096893,ITC,-0.009184683
12/1/2021,187.8392029,ITC,-0.014017588
1/1/2022,189.6913147,ITC,0.009860092
2/1/2022,185.9440308,ITC,-0.019754641
3/1/2022,220.9118805,ITC,0.18805578
4/1/2022,228.7559509,ITC,0.035507689
5/1/2022,238.5390167,ITC,0.042766388
6/1/2022,246.7050934,ITC,0.034233715
7/1/2022,273.3600769,ITC,0.108043912
8/1/2022,289.1004944,ITC,0.057581259
9/1/2022,299.6542664,ITC,0.036505548
10/1/2022,314.5377197,ITC,0.049668752
11/1/2022,306.690094,ITC,-0.024949713
12/1/2022,299.0679016,ITC,-0.024853077
1/1/2023,317.8301086,ITC,0.062735609
2/1/2023,339.7945557,ITC,0.069107509
3/1/2023,351.3839111,ITC,0.034106948
4/1/2023,389.9124451,ITC,0.109647974
5/1/2023,408.1917419,ITC,0.046880516
6/1/2023,422.7229309,ITC,0.035598929
7/1/2023,435.9213257,ITC,0.03122233
8/1/2023,411.5838928,ITC,-0.055829874
9/1/2023,415.9833374,ITC,0.010689059
10/1/2023,401.0064392,ITC,-0.036003601
11/1/2023,407.9332275,ITC,0.017273509
12/1/2023,432.5514832,ITC,0.060348739
1/1/2024,413.3155518,ITC,-0.044470848
2/1/2024,380.3195801,ITC,-0.079832398
3/1/2024,406.8484497,ITC,0.069754151
4/1/2024,413.7820435,ITC,0.017042203
5/1/2024,405.0438538,ITC,-0.021117856
6/1/2024,403.5716248,ITC,-0.00363474
7/1/2024,478.8302307,ITC,0.186481411
8/1/2024,485.1617737,ITC,0.013222939
9/1/2024,500.869873,ITC,0.032377034
10/1/2024,472.4986572,ITC,-0.056643886
11/1/2024,460.8505249,ITC,-0.024652202
12/1/2024,467.5204163,ITC,0.014473004
2/1/2020,11201.75,NIFTY50,-0.063563223
3/1/2020,8597.75,NIFTY50,-0.232463678
4/1/2020,9859.900391,NIFTY50,0.14680008
5/1/2020,9580.299805,NIFTY50,-0.028357344
6/1/2020,10302.09961,NIFTY50,0.075342089
7/1/2020,11073.4502,NIFTY50,0.074873144
8/1/2020,11387.5,NIFTY50,0.02836061
9/1/2020,11247.5498,NIFTY50,-0.012289809
10/1/2020,11642.40039,NIFTY50,0.035105476
11/1/2020,12968.9502,NIFTY50,0.113941263
12/1/2020,13981.75,NIFTY50,0.078094201
1/1/2021,13634.59961,NIFTY50,-0.024828823
2/1/2021,14529.15039,NIFTY50,0.065608878
3/1/2021,14690.7002,NIFTY50,0.011119013
4/1/2021,14631.09961,NIFTY50,-0.004057029
5/1/2021,15582.7998,NIFTY50,0.065046389
6/1/2021,15721.5,NIFTY50,0.008900852
7/1/2021,15763.0498,NIFTY50,0.002642865
8/1/2021,17132.19922,NIFTY50,0.086858155
9/1/2021,17618.15039,NIFTY50,0.028364786
10/1/2021,17671.65039,NIFTY50,0.003036641
11/1/2021,16983.19922,NIFTY50,-0.038957944
12/1/2021,17354.05078,NIFTY50,0.021836378
1/1/2022,17339.84961,NIFTY50,-0.00081832
2/1/2022,16793.90039,NIFTY50,-0.031485234
3/1/2022,17464.75,NIFTY50,0.039946028
4/1/2022,17102.55078,NIFTY50,-0.020738872
5/1/2022,16584.55078,NIFTY50,-0.03028788
6/1/2022,15780.25,NIFTY50,-0.048496989
7/1/2022,17158.25,NIFTY50,0.087324345
8/1/2022,17759.30078,NIFTY50,0.035029842
9/1/2022,17094.34961,NIFTY50,-0.037442418
10/1/2022,18012.19922,NIFTY50,0.053693158
11/1/2022,18758.34961,NIFTY50,0.041424724
12/1/2022,18105.30078,NIFTY50,-0.034813768
1/1/2023,17662.15039,NIFTY50,-0.024476279
2/1/2023,17303.94922,NIFTY50,-0.020280722
3/1/2023,17359.75,NIFTY50,0.003224742
4/1/2023,18065,NIFTY50,0.040625585
5/1/2023,18534.40039,NIFTY50,0.025983968
6/1/2023,19189.05078,NIFTY50,0.035320829
7/1/2023,19753.80078,NIFTY50,0.029430846
8/1/2023,19253.80078,NIFTY50,-0.025311585
9/1/2023,19638.30078,NIFTY50,0.019970083
10/1/2023,19079.59961,NIFTY50,-0.028449568
11/1/2023,20133.15039,NIFTY50,0.055218705
12/1/2023,21731.40039,NIFTY50,0.079383999
1/1/2024,21725.69922,NIFTY50,-0.000262347
2/1/2024,21982.80078,NIFTY50,0.011833983
3/1/2024,22326.90039,NIFTY50,0.015653129
4/1/2024,22604.84961,NIFTY50,0.012449073
5/1/2024,22530.69922,NIFTY50,-0.003280287
6/1/2024,24010.59961,NIFTY50,0.065683731
7/1/2024,24951.15039,NIFTY50,0.039172315
8/1/2024,25235.90039,NIFTY50,0.011412299
