user_id,signup_date,country,device
1,2024-02-01,Canada,Mobile
2,2024-07-18,UK,Mobile
3,2023-11-11,UK,TV
4,2022-04-12,UK,Tablet
5,2021-03-29,USA,Tablet
6,2024-08-25,India,TV
7,2023-03-17,India,Mobile
8,2024-03-30,Canada,TV
9,2021-01-22,USA,Mobile
10,2022-04-20,UK,Tablet
11,2022-12-01,Canada,Tablet
12,2021-07-09,India,Tablet
13,2023-08-16,UK,Tablet
14,2024-06-21,Canada,Mobile
15,2024-02-29,USA,Tablet
16,2022-10-09,USA,Mobile
17,2021-06-16,India,Mobile
18,2021-11-12,India,TV
19,2023-02-16,India,Mobile
20,2023-06-17,Canada,Tablet
21,2023-08-14,UK,Mobile
22,2023-02-15,UK,Tablet
23,2021-07-25,USA,TV
24,2024-11-12,India,TV
25,2024-11-14,India,TV
26,2022-12-04,India,TV
27,2021-06-11,India,TV
28,2023-09-23,India,Tablet
29,2023-03-27,UK,TV
30,2024-06-29,USA,TV
31,2021-10-23,USA,Mobile
32,2021-12-04,UK,Mobile
33,2023-03-03,India,Mobile
34,2023-02-03,Canada,Mobile
35,2023-12-01,USA,Tablet
36,2021-03-06,USA,Tablet
37,2022-06-05,Canada,Mobile
38,2022-10-10,Canada,Tablet
39,2024-03-08,UK,Mobile
40,2022-01-27,UK,Tablet
41,2021-10-16,UK,Mobile
42,2021-08-19,India,Mobile
43,2023-11-18,UK,Mobile
44,2023-02-19,India,Mobile
45,2023-12-08,UK,Tablet
46,2023-03-16,UK,TV
47,2023-08-19,UK,Mobile
48,2022-10-05,USA,Mobile
49,2024-05-26,UK,Tablet
50,2022-02-02,UK,Tablet
51,2022-01-28,UK,Tablet
52,2023-06-11,USA,Tablet
53,2023-05-14,UK,Mobile
54,2022-07-18,USA,TV
55,2022-04-30,UK,Tablet
56,2023-01-19,UK,Tablet
57,2022-06-25,Canada,Mobile
58,2024-03-29,UK,Tablet
59,2024-06-20,India,TV
60,2022-11-13,USA,TV
61,2023-10-10,India,TV
62,2024-09-16,Canada,TV
63,2024-10-03,USA,Tablet
64,2021-07-09,USA,Mobile
65,2024-11-01,UK,TV
66,2022-09-25,Canada,Mobile
67,2024-07-06,UK,TV
68,2024-12-05,USA,TV
69,2024-06-02,UK,TV
70,2022-11-15,Canada,Tablet
71,2024-10-29,Canada,Mobile
72,2024-02-11,India,Mobile
73,2022-03-18,Canada,TV
74,2024-11-10,UK,Mobile
75,2023-08-10,USA,Tablet
76,2021-04-23,India,TV
77,2021-08-08,India,Tablet
78,2024-06-02,USA,Tablet
79,2024-02-28,USA,TV
80,2024-12-10,UK,Tablet
81,2021-07-22,Canada,Tablet
82,2022-02-05,UK,TV
83,2021-10-07,USA,TV
84,2021-07-17,India,Tablet
85,2023-01-22,Canada,Mobile
86,2024-05-09,Canada,Tablet
87,2024-09-11,Canada,Mobile
88,2022-10-22,Canada,Tablet
89,2022-02-07,India,Tablet
90,2021-05-27,Canada,Tablet
91,2022-05-04,USA,Tablet
92,2021-12-04,Canada,Mobile
93,2022-04-18,India,Tablet
94,2024-12-09,India,TV
95,2021-09-20,Canada,TV
96,2022-09-16,USA,Mobile
97,2021-01-02,USA,TV
98,2022-03-29,USA,Tablet
99,2023-10-12,USA,Mobile
100,2024-01-28,UK,Tablet
101,2022-02-08,Canada,TV
102,2024-02-18,USA,Tablet
103,2024-12-14,India,TV
104,2024-06-04,Canada,TV
105,2021-04-09,USA,Mobile
106,2023-07-03,Canada,TV
107,2021-12-04,India,TV
108,2024-04-01,Canada,Mobile
109,2021-06-10,Canada,Mobile
110,2022-02-02,USA,Tablet
111,2024-05-03,USA,Mobile
112,2022-11-19,Canada,Tablet
113,2022-04-15,UK,TV
114,2023-01-20,India,TV
115,2021-08-18,USA,Tablet
116,2022-03-14,Canada,Tablet
117,2021-01-27,India,Mobile
118,2023-03-09,USA,Tablet
119,2023-08-18,USA,Mobile
120,2023-10-17,USA,Tablet
121,2022-07-01,Canada,Mobile
122,2021-01-17,Canada,TV
123,2022-04-22,India,Mobile
124,2022-06-02,UK,Mobile
125,2023-11-27,Canada,Mobile
126,2022-05-12,India,Mobile
127,2022-08-30,UK,Mobile
128,2024-02-14,UK,Mobile
129,2023-09-08,Canada,Tablet
130,2024-03-30,Canada,Tablet
131,2021-05-08,India,Mobile
132,2022-07-20,India,Tablet
133,2022-11-17,Canada,TV
134,2024-08-04,UK,TV
135,2023-08-20,UK,Tablet
136,2022-05-05,India,TV
137,2023-02-24,Canada,Mobile
138,2024-11-17,UK,TV
139,2024-04-14,UK,Mobile
140,2023-01-29,India,Tablet
141,2023-07-10,Canada,Mobile
142,2023-04-08,India,Tablet
143,2021-02-05,USA,Mobile
144,2022-05-27,India,TV
145,2023-08-30,UK,Tablet
146,2024-03-12,Canada,TV
147,2023-04-14,Canada,Tablet
148,2023-05-04,UK,Mobile
149,2022-07-29,India,Mobile
150,2021-05-30,India,TV
151,2024-09-27,USA,TV
152,2023-04-18,UK,TV
153,2023-09-30,Canada,Mobile
154,2023-09-20,Canada,Mobile
155,2023-10-01,Canada,Mobile
156,2024-02-01,Canada,TV
157,2023-05-27,Canada,TV
158,2021-02-16,UK,Tablet
159,2023-07-25,Canada,Mobile
160,2022-01-05,Canada,TV
161,2022-10-19,Canada,Tablet
162,2023-12-18,UK,TV
163,2023-01-11,India,Mobile
164,2023-03-02,UK,Mobile
165,2023-10-10,USA,TV
166,2022-09-26,USA,Tablet
167,2023-03-13,Canada,TV
168,2024-02-16,Canada,Mobile
169,2022-05-03,USA,Mobile
170,2023-06-16,Canada,Mobile
171,2022-12-05,UK,Mobile
172,2023-03-01,USA,Tablet
173,2024-01-05,India,Tablet
174,2023-09-24,India,Mobile
175,2024-08-01,India,Mobile
176,2023-12-07,USA,TV
177,2023-08-16,Canada,Mobile
178,2024-05-12,Canada,TV
179,2022-04-19,Canada,Mobile
180,2022-07-05,Canada,Mobile
181,2024-07-01,India,Mobile
182,2021-01-23,India,TV
183,2024-01-29,India,Tablet
184,2023-02-01,UK,TV
185,2023-02-08,Canada,Mobile
186,2022-05-31,Canada,Tablet
187,2021-09-15,USA,Tablet
188,2023-05-02,Canada,TV
189,2022-01-15,USA,Mobile
190,2023-08-15,UK,Tablet
191,2024-07-15,UK,Mobile
192,2024-12-11,Canada,TV
193,2023-12-03,Canada,Mobile
194,2022-02-01,Canada,Tablet
195,2024-08-18,India,Mobile
196,2022-05-14,India,Tablet
197,2022-12-28,USA,TV
198,2023-02-15,USA,TV
199,2023-08-28,India,TV
200,2022-02-22,UK,Mobile
201,2024-05-04,India,Mobile
202,2024-01-04,USA,Mobile
203,2024-07-24,USA,Mobile
204,2022-11-07,India,Mobile
205,2022-04-02,Canada,Tablet
206,2024-01-28,Canada,TV
207,2023-10-06,UK,Tablet
208,2024-04-28,Canada,Mobile
209,2024-10-24,UK,Mobile
210,2021-10-06,USA,Tablet
211,2023-05-23,India,Mobile
212,2021-03-03,Canada,Mobile
213,2024-09-27,USA,Tablet
214,2023-11-09,USA,Mobile
215,2024-06-10,UK,Mobile
216,2022-03-31,Canada,TV
217,2023-01-05,Canada,Tablet
218,2024-10-22,Canada,Mobile
219,2023-12-29,UK,Mobile
220,2023-08-06,UK,Mobile
221,2024-03-20,Canada,Mobile
222,2023-11-29,USA,Mobile
223,2023-12-02,India,Tablet
224,2022-02-02,UK,TV
225,2024-03-02,UK,Tablet
226,2023-01-03,UK,Tablet
227,2022-10-20,UK,Mobile
228,2024-01-03,India,Mobile
229,2024-06-30,India,Tablet
230,2024-04-12,USA,TV
231,2024-11-17,India,Tablet
232,2022-09-26,India,Mobile
233,2021-01-29,USA,TV
234,2021-12-05,Canada,Mobile
235,2024-09-27,Canada,Mobile
236,2022-05-26,UK,Mobile
237,2024-08-17,Canada,TV
238,2024-06-29,UK,Tablet
239,2022-03-21,Canada,TV
240,2021-06-16,UK,TV
241,2021-02-08,India,Tablet
242,2021-06-22,USA,TV
243,2024-05-28,India,TV
244,2022-04-21,Canada,Mobile
245,2023-06-14,USA,Tablet
246,2023-10-22,UK,Mobile
247,2021-12-14,India,Mobile
248,2024-04-29,Canada,Mobile
249,2024-12-03,Canada,Mobile
250,2023-07-23,USA,TV
251,2021-02-27,Canada,Mobile
252,2022-11-03,USA,Mobile
253,2023-03-26,USA,TV
254,2024-05-21,UK,Mobile
255,2024-06-04,UK,Mobile
256,2024-11-26,UK,Mobile
257,2024-08-21,India,Tablet
258,2024-12-09,USA,Mobile
259,2024-07-06,Canada,Tablet
260,2023-08-29,Canada,TV
261,2023-01-06,Canada,TV
262,2023-08-30,Canada,Mobile
263,2023-10-29,India,TV
264,2022-11-29,Canada,TV
265,2022-06-24,Canada,Mobile
266,2021-02-10,Canada,Tablet
267,2022-05-17,UK,Mobile
268,2024-05-09,USA,Mobile
269,2022-04-06,Canada,Mobile
270,2023-06-28,India,Tablet
271,2024-06-30,India,TV
272,2023-06-02,Canada,Mobile
273,2022-03-26,India,TV
274,2024-06-19,UK,Mobile
275,2023-10-26,UK,Mobile
276,2022-01-09,USA,TV
277,2021-08-12,UK,Mobile
278,2023-05-03,India,Tablet
279,2024-05-25,India,Tablet
280,2023-03-06,USA,Mobile
281,2021-04-15,UK,Tablet
282,2022-01-20,USA,Tablet
283,2022-06-02,Canada,Mobile
284,2022-12-10,UK,Mobile
285,2023-02-10,USA,Tablet
286,2023-09-24,USA,Mobile
287,2022-12-15,India,Tablet
288,2024-03-14,USA,TV
289,2022-04-02,India,Mobile
290,2021-02-20,USA,Mobile
291,2022-03-25,USA,TV
292,2024-10-03,UK,Tablet
