date,user_id,content_id,watch_minutes,completed_flag,watch_sessions
2024-06-06,1,119,74,0,1
2025-01-22,1,262,67,1,1
2024-05-13,1,37,18,0,1
2024-03-08,1,8,107,0,1
2024-12-29,1,296,111,0,1
2025-01-13,1,18,61,0,1
2024-04-23,1,288,90,0,1
2024-08-12,1,215,29,0,1
2024-09-07,1,289,92,0,1
2024-08-12,1,158,85,0,1
2024-05-14,1,34,106,1,1
2024-06-06,1,214,73,0,1
2024-12-05,2,31,43,0,1
2024-09-18,2,48,91,0,1
2025-05-17,2,61,16,0,1
2025-06-16,2,274,31,0,1
2025-04-27,2,80,56,0,1
2025-04-15,2,77,62,1,1
2025-02-23,2,282,32,0,1
2025-07-13,2,77,40,0,1
2024-07-26,2,175,82,0,1
2025-05-20,2,76,61,0,1
2024-08-18,2,250,61,0,1
2025-05-23,2,144,66,0,1
2024-10-09,2,56,27,0,1
2025-04-16,2,166,76,0,1
2024-12-22,2,249,62,0,1
2024-10-03,2,22,112,0,1
2025-04-16,2,252,19,0,1
2025-05-17,2,160,80,1,1
2024-11-07,2,168,101,0,1
2025-03-27,2,186,95,0,1
2023-11-26,3,156,102,0,1
2024-02-29,3,1,45,0,1
2023-12-28,3,108,37,0,1
2024-04-19,3,128,86,0,1
2024-04-09,3,255,88,1,1
2024-06-15,3,30,93,0,1
2023-12-25,3,80,43,0,1
2024-07-07,3,45,68,1,1
2024-10-12,3,288,60,0,1
2024-08-16,3,116,17,0,1
2024-10-10,3,53,72,0,1
2024-05-10,3,34,32,0,1
2024-09-11,3,249,115,1,1
2024-02-12,3,179,51,0,1
2024-08-18,3,92,88,1,1
2024-01-24,3,202,65,0,1
2024-09-02,3,211,94,1,1
2024-10-13,3,134,78,0,1
2024-01-15,3,280,42,0,1
2023-12-08,3,117,113,0,1
2024-09-22,3,114,79,0,1
2024-05-30,3,59,6,0,1
2023-11-25,3,231,109,0,1
2024-04-23,3,199,24,0,1
2024-10-29,3,35,38,0,1
2024-07-12,3,287,91,0,1
2023-11-29,3,280,88,0,1
2024-10-23,3,182,43,0,1
2024-04-05,3,176,39,0,1
2024-05-03,3,47,68,0,1
2024-05-02,3,103,39,0,1
2024-10-25,3,145,46,0,1
2023-12-09,3,273,85,0,1
2023-11-24,3,189,108,0,1
2024-08-31,3,183,67,1,1
2023-12-16,3,37,94,1,1
2023-11-24,3,123,87,1,1
2024-04-17,3,102,85,0,1
2024-02-01,3,44,72,0,1
2022-05-03,4,132,85,0,1
2023-02-07,4,267,35,0,1
2022-08-09,4,246,60,0,1
2022-05-19,4,245,25,0,1
2022-07-30,4,94,14,0,1
2022-08-25,4,231,12,0,1
2023-03-05,4,290,20,0,1
2023-04-07,4,87,80,0,1
2022-11-16,4,241,31,0,1
2023-02-25,4,258,112,1,1
2022-12-23,4,282,62,1,1
2022-07-03,4,107,73,1,1
2022-07-17,4,212,34,0,1
2022-12-04,4,8,42,0,1
2022-10-17,4,81,112,0,1
2021-06-03,5,174,94,0,1
2022-03-14,5,43,63,0,1
2022-01-24,5,200,39,0,1
2021-05-06,5,220,55,0,1
2021-04-01,5,121,84,0,1
2025-02-19,6,133,59,0,1
2025-04-10,6,276,28,0,1
2025-02-04,6,290,103,1,1
2024-12-28,6,240,58,0,1
2025-08-04,6,146,59,0,1
2025-06-29,6,72,95,0,1
2025-03-19,6,173,17,0,1
2025-05-23,6,214,88,0,1
2025-05-20,6,20,70,0,1
2025-06-23,6,147,49,0,1
2025-02-05,6,6,18,0,1
2025-01-03,6,243,59,0,1
2025-04-12,6,228,38,0,1
2025-06-03,6,263,7,0,1
2025-04-06,6,258,110,1,1
2025-07-26,6,24,19,0,1
2024-11-27,6,142,58,0,1
2023-06-05,7,274,24,0,1
2023-10-10,7,296,43,0,1
2023-12-29,7,124,69,1,1
2023-12-24,7,180,101,1,1
2023-09-23,7,74,67,0,1
2023-12-14,7,49,104,0,1
2024-02-16,7,210,27,0,1
2023-06-22,7,190,58,0,1
2023-08-11,7,23,109,0,1
2023-08-26,7,67,38,0,1
2023-12-30,7,46,85,0,1
2023-08-10,7,222,91,0,1
2023-03-31,7,121,82,0,1
2024-02-01,7,295,117,0,1
2023-04-03,7,256,66,1,1
2023-12-18,7,27,6,0,1
2024-03-03,7,295,90,0,1
2024-01-22,7,239,17,0,1
2024-05-24,8,230,109,0,1
2024-04-26,8,71,86,0,1
2024-09-29,8,41,104,0,1
2024-12-14,8,84,50,0,1
2024-09-04,8,7,94,0,1
2025-02-25,8,136,59,0,1
2021-07-12,9,276,82,0,1
2021-07-18,9,27,29,0,1
2021-11-25,9,196,25,0,1
2021-02-08,9,295,19,0,1
2021-03-15,9,294,52,0,1
2021-03-14,9,216,76,0,1
2021-02-18,9,252,20,0,1
2021-02-25,9,201,98,1,1
2021-11-25,9,140,87,0,1
2022-12-23,10,177,56,0,1
2022-07-07,10,64,12,0,1
2022-11-19,10,25,70,0,1
2022-12-31,10,243,77,0,1
2022-11-03,10,94,80,1,1
2022-05-04,10,178,75,0,1
2022-07-03,10,104,42,0,1
2022-10-04,10,115,103,1,1
2022-05-28,10,273,11,0,1
2022-12-07,10,39,72,0,1
2023-02-04,10,47,40,0,1
2023-03-05,10,95,93,0,1
2023-04-15,10,13,22,0,1
2022-06-23,10,228,118,0,1
2022-04-27,10,43,57,0,1
2022-07-13,10,155,23,0,1
2022-05-12,10,115,54,0,1
2023-02-12,10,99,108,0,1
2022-06-09,10,112,61,1,1
2022-12-19,10,169,76,0,1
2022-09-05,10,231,115,0,1
2022-12-28,10,49,42,0,1
2023-02-16,10,72,11,0,1
2023-03-07,10,222,81,0,1
2022-06-20,10,157,42,0,1
2022-08-22,10,229,88,0,1
2022-12-29,11,114,83,0,1
2022-12-23,11,106,7,0,1
2023-11-22,11,173,12,0,1
2023-11-07,11,285,6,0,1
2023-07-21,11,251,54,0,1
2023-10-17,11,108,24,0,1
2023-05-29,11,213,41,0,1
2023-02-10,11,283,51,0,1
2023-04-02,11,227,10,0,1
2023-09-27,11,83,22,0,1
2023-03-30,11,65,29,0,1
2023-09-09,11,106,33,0,1
2023-09-26,11,107,40,0,1
2023-04-26,11,262,29,0,1
2023-05-08,11,265,88,0,1
2023-06-20,11,155,17,0,1
2023-09-23,11,85,101,1,1
2023-09-06,11,245,48,0,1
2023-11-27,11,9,6,0,1
2023-08-04,11,278,80,1,1
2023-06-21,11,247,82,1,1
2023-02-19,11,13,72,1,1
2022-12-16,11,45,68,1,1
2023-04-18,11,148,103,0,1
2023-07-24,11,191,86,1,1
2023-03-15,11,250,16,0,1
2023-03-04,11,220,78,1,1
2023-09-24,11,133,102,1,1
2023-05-04,11,28,30,0,1
2023-03-26,11,234,25,0,1
2022-12-01,11,240,62,0,1
2023-10-31,11,183,67,1,1
2022-12-26,11,77,37,0,1
2023-07-05,11,262,27,0,1
2023-08-01,11,158,82,0,1
2023-10-06,11,87,15,0,1
2023-04-13,11,267,81,0,1
2021-08-30,12,99,40,0,1
2021-08-05,12,220,26,0,1
2021-10-18,12,263,19,0,1
2022-02-17,12,139,28,0,1
2022-04-20,12,250,70,0,1
2022-05-21,12,78,45,0,1
2022-06-11,12,13,72,1,1
2021-09-28,12,9,117,0,1
2022-02-06,12,48,53,0,1
2022-05-13,12,40,92,1,1
2022-04-14,12,226,76,0,1
2021-10-24,12,245,37,0,1
2021-07-31,12,54,57,0,1
2021-08-26,12,78,84,0,1
2022-07-01,12,122,64,0,1
2022-07-02,12,90,67,1,1
