order_id,date,customer_id,product_id,store_id,quantity,unit_price,discount,revenue,year,month,month_name,year_month
1,2024-08-02,1,15,1,3,2206,0.05,6287.1,2024,8,Aug,2024-08
2,2021-10-13,2,95,4,5,912,0.15,3876.0,2021,10,Oct,2021-10
3,2021-03-07,2,4,3,2,2105,0.0,4210.0,2021,3,Mar,2021-03
4,2024-02-24,3,26,18,4,2005,0.15,6817.0,2024,2,Feb,2024-02
5,2024-04-21,3,36,1,2,3662,0.1,6591.6,2024,4,Apr,2024-04
6,2022-07-24,4,20,7,3,1037,0.0,3111.0,2022,7,Jul,2022-07
7,2023-02-18,5,13,12,3,2366,0.0,7098.0,2023,2,Feb,2023-02
8,2023-07-30,6,69,4,4,845,0.1,3042.0,2023,7,Jul,2023-07
9,2024-07-11,7,80,12,5,1775,0.0,8875.0,2024,7,Jul,2024-07
10,2021-04-04,7,85,8,3,853,0.05,2431.05,2021,4,Apr,2021-04
11,2021-07-26,7,49,9,4,3188,0.05,12114.4,2021,7,Jul,2021-07
12,2023-01-29,7,46,7,3,784,0.05,2234.4,2023,1,Jan,2023-01
13,2023-12-30,8,94,8,2,3986,0.15,6776.2,2023,12,Dec,2023-12
14,2022-07-07,9,119,18,2,2856,0.0,5712.0,2022,7,Jul,2022-07
15,2022-04-15,9,106,2,3,3486,0.1,9412.2,2022,4,Apr,2022-04
16,2021-05-16,9,28,19,3,1941,0.15,4949.55,2021,5,May,2021-05
17,2023-03-22,10,114,15,2,2369,0.05,4501.1,2023,3,Mar,2023-03
18,2022-05-21,10,96,18,5,2352,0.15,9996.0,2022,5,May,2022-05
19,2024-04-10,10,52,12,2,1333,0.15,2266.1,2024,4,Apr,2024-04
20,2021-07-06,11,97,2,1,1452,0.05,1379.4,2021,7,Jul,2021-07
21,2024-10-25,11,55,20,1,3352,0.15,2849.2,2024,10,Oct,2024-10
22,2024-05-05,12,60,17,3,4732,0.0,14196.0,2024,5,May,2024-05
23,2024-10-25,12,93,4,5,2385,0.1,10732.5,2024,10,Oct,2024-10
24,2021-08-17,12,38,14,2,3916,0.0,7832.0,2021,8,Aug,2021-08
25,2022-06-24,12,65,6,5,1071,0.1,4819.5,2022,6,Jun,2022-06
26,2024-08-01,13,65,20,2,1452,0.1,2613.6,2024,8,Aug,2024-08
27,2021-11-27,14,70,17,1,2855,0.15,2426.75,2021,11,Nov,2021-11
28,2021-02-09,14,15,12,3,2161,0.0,6483.0,2021,2,Feb,2021-02
29,2022-05-09,14,113,19,1,901,0.15,765.85,2022,5,May,2022-05
30,2021-05-22,14,98,18,2,1251,0.15,2126.7,2021,5,May,2021-05
31,2024-01-31,14,22,9,5,3666,0.05,17413.5,2024,1,Jan,2024-01
32,2024-01-10,15,97,7,3,3468,0.1,9363.6,2024,1,Jan,2024-01
33,2023-06-17,16,116,17,4,1191,0.05,4525.8,2023,6,Jun,2023-06
34,2022-04-06,17,9,11,1,4737,0.05,4500.15,2022,4,Apr,2022-04
35,2024-04-20,17,29,1,1,682,0.05,647.9,2024,4,Apr,2024-04
