policy_id,policy_start_date,vehicle_type,policy_type,region,vehicle_age,driver_age,base_premium,discount_pct,final_premium,expected_claim_cost,policy_year,underwriting_margin,premium_per_vehicle_age,discount_applied,discount_bucket,avg_vehicle_premium,premium_deviation_pct,risk_adjusted_discount,pricing_status,effective_price_index
POL10001,4/13/2023,SUV,Third Party,West,12,41,16600,0,16600,7675.803615,2023,8924.196385,1276.923077,0,No Discount,16035.20315,3.522230741,0,Profitable,1.035222307
POL10002,11/27/2023,Sedan,Third Party,West,7,23,14100,0,14100,11110.29157,2023,2989.708434,1762.5,0,No Discount,13138.71795,7.316406784,0,Profitable,1.073164068
POL10003,5/6/2024,Luxury,Third Party,West,4,53,19200,0,19200,11710.12939,2024,7489.870605,3840,0,No Discount,20650.76512,-7.025236672,0,Profitable,0.929747633
POL10004,7/14/2024,Sedan,Third Party,West,11,36,13300,0,13300,5802.026232,2024,7497.973768,1108.333333,0,No Discount,13138.71795,1.22753264,0,Profitable,1.012275326
POL10005,7/16/2024,Sedan,Comprehensive,North,2,57,13100,5,12445,5826.869088,2024,6618.130912,4148.333333,1,Low,13138.71795,-5.279951601,1.666666667,Profitable,0.947200484
POL10006,6/16/2023,Hatchback,Comprehensive,South,1,29,10800,0,10800,5317.461327,2023,5482.538673,5400,0,No Discount,11091.59585,-2.628980078,0,Profitable,0.973710199
POL10007,4/2/2023,Sedan,Third Party,North,7,55,12100,15,10285,5178.620844,2023,5106.379156,1285.625,1,High,13138.71795,-21.71991179,1.875,Profitable,0.782800882
POL10008,1/23/2024,Hatchback,Comprehensive,South,3,49,11400,15,9690,6880.414823,2024,2809.585177,2422.5,1,High,11091.59585,-12.63655713,3.75,Profitable,0.873634429
POL10009,6/11/2023,Sedan,Comprehensive,East,14,28,16700,5,15865,9651.214214,2023,6213.785786,1057.666667,1,Low,13138.71795,20.74998536,0.333333333,Profitable,1.207499854
POL10010,12/2/2024,Hatchback,Third Party,South,14,44,12200,0,12200,6250.960407,2024,5949.039593,813.3333333,0,No Discount,11091.59585,9.993189171,0,Profitable,1.099931892
POL10011,1/15/2024,Hatchback,Third Party,North,0,45,8000,15,6800,4820.505772,2024,1979.494228,6800,1,High,11091.59585,-38.69232079,15,Profitable,0.613076792
POL10012,10/9/2024,Hatchback,Comprehensive,North,7,55,12600,10,11340,7284.634446,2024,4055.365554,1417.5,1,Medium,11091.59585,2.239570918,1.25,Profitable,1.022395709
POL10013,5/4/2024,Sedan,Third Party,East,8,28,12400,0,12400,5433.234178,2024,6966.765822,1377.777778,0,No Discount,13138.71795,-5.622450772,0,Profitable,0.943775492
POL10014,5/17/2024,Hatchback,Third Party,East,11,60,11300,0,11300,7056.820285,2024,4243.179715,941.6666667,0,No Discount,11091.59585,1.878937511,0,Profitable,1.018789375
POL10015,9/4/2024,Luxury,Comprehensive,North,9,34,23200,5,22040,13424.41262,2024,8615.587376,2204,1,Low,20650.76512,6.727280404,0.5,Profitable,1.067272804
POL10016,1/15/2023,Hatchback,Comprehensive,East,14,52,14700,5,13965,7341.99251,2023,6623.00749,931,1,Low,11091.59585,25.90613826,0.333333333,Profitable,1.259061383
POL10017,4/6/2023,SUV,Third Party,East,12,35,16600,10,14940,7343.297837,2023,7596.702163,1149.230769,1,Medium,16035.20315,-6.829992333,0.769230769,Profitable,0.931700077
POL10018,6/9/2023,Sedan,Comprehensive,West,1,62,12800,10,11520,7526.72451,2023,3993.27549,5760,1,Medium,13138.71795,-12.32021233,5,Profitable,0.876797877
POL10019,10/7/2024,Sedan,Third Party,West,13,31,13900,0,13900,6238.809028,2024,7661.190972,992.8571429,0,No Discount,13138.71795,5.794188248,0,Profitable,1.057941882
POL10020,4/17/2024,Hatchback,Third Party,North,10,33,11000,10,9900,3987.530437,2024,5912.469563,900,1,Medium,11091.59585,-10.74323174,0.909090909,Profitable,0.892567683
POL10021,3/31/2024,Sedan,Comprehensive,North,2,62,13100,0,13100,10180.84685,2024,2919.153151,4366.666667,0,No Discount,13138.71795,-0.294685896,0,Profitable,0.997053141
POL10022,1/9/2024,Hatchback,Comprehensive,West,0,32,10500,0,10500,6288.443725,2024,4211.556275,10500,0,No Discount,11091.59585,-5.333730632,0,Profitable,0.946662694
POL10023,4/23/2023,Hatchback,Comprehensive,East,0,22,12500,5,11875,4994.524068,2023,6880.475932,11875,1,Low,11091.59585,7.063042738,5,Profitable,1.070630427
POL10024,8/13/2023,Sedan,Comprehensive,North,11,46,15800,15,13430,6672.320919,2023,6757.679081,1119.166667,1,High,13138.71795,2.216974688,1.25,Profitable,1.022169747
POL10025,3/14/2024,SUV,Third Party,East,5,44,14500,5,13775,10928.66151,2024,2846.338494,2295.833333,1,Low,16035.20315,-14.09525732,0.833333333,Profitable,0.859047427
POL10026,5/25/2024,Hatchback,Comprehensive,West,10,26,13500,5,12825,9533.380669,2024,3291.619331,1165.909091,1,Low,11091.59585,15.62808616,0.454545455,Profitable,1.156280862
POL10027,2/7/2024,SUV,Comprehensive,West,6,61,17300,5,16435,9116.398167,2024,7318.601833,2347.857143,1,Low,16035.20315,2.493244712,0.714285714,Profitable,1.024932447
POL10028,12/4/2023,SUV,Comprehensive,North,8,43,17900,5,17005,11534.72548,2023,5470.274516,1889.444444,1,Low,16035.20315,6.04792372,0.555555556,Profitable,1.060479237
POL10029,9/20/2023,SUV,Comprehensive,North,3,22,18400,15,15640,12295.66346,2023,3344.336538,3910,1,High,16035.20315,-2.464597061,3.75,Profitable,0.975354029
POL10030,3/28/2024,Luxury,Comprehensive,North,8,55,22900,10,20610,15223.87446,2024,5386.125543,2290,1,Medium,20650.76512,-0.19740249,1.111111111,Profitable,0.998025975
POL10031,2/8/2024,SUV,Comprehensive,West,3,31,16400,15,13940,9955.059471,2024,3984.940529,3485,1,High,16035.20315,-13.06627129,3.75,Profitable,0.869337287
POL10032,4/14/2023,Sedan,Third Party,South,8,55,12400,15,10540,5413.010829,2023,5126.989171,1171.111111,1,High,13138.71795,-19.77908316,1.666666667,Profitable,0.802209168
POL10033,12/4/2023,Sedan,Comprehensive,North,8,56,14900,10,13410,6636.604105,2023,6773.395895,1490,1,Medium,13138.71795,2.064752835,1.111111111,Profitable,1.020647528
POL10034,10/4/2023,Hatchback,Third Party,West,6,23,11800,5,11210,7032.295777,2023,4177.704223,1601.428571,1,Low,11091.59585,1.067512345,0.714285714,Profitable,1.010675123
POL10035,4/4/2024,Sedan,Comprehensive,South,13,50,16400,15,13940,7767.912913,2024,6172.087087,995.7142857,1,High,13138.71795,6.098631955,1.071428571,Profitable,1.06098632
POL10036,3/13/2024,Luxury,Comprehensive,North,13,53,24400,5,23180,13838.62406,2024,9341.375943,1655.714286,1,Low,20650.76512,12.24765698,0.357142857,Profitable,1.12247657
POL10037,3/28/2024,Hatchback,Comprehensive,West,2,37,11100,15,9435,5547.570596,2024,3887.429404,3145,1,High,11091.59585,-14.9355951,5,Profitable,0.850644049
POL10038,2/15/2023,Luxury,Third Party,North,4,44,19200,0,19200,11925.23495,2023,7274.765055,3840,0,No Discount,20650.76512,-7.025236672,0,Profitable,0.929747633
POL10039,8/29/2024,Luxury,Comprehensive,East,12,41,24100,0,24100,12228.09762,2024,11871.90238,1853.846154,0,No Discount,20650.76512,16.70269772,0,Profitable,1.167026977
POL10040,11/19/2023,Hatchback,Comprehensive,East,5,23,14000,5,13300,5836.978947,2023,7463.021053,2216.666667,1,Low,11091.59585,19.91060787,0.833333333,Profitable,1.199106079
POL10041,10/15/2023,SUV,Third Party,East,10,62,16000,10,14400,10026.82724,2023,4373.172762,1309.090909,1,Medium,16035.20315,-10.19758297,0.909090909,Profitable,0.89802417
POL10042,1/28/2024,SUV,Third Party,North,9,46,15700,10,14130,10552.69274,2024,3577.307255,1413,1,Medium,16035.20315,-11.88137829,1,Profitable,0.881186217
POL10043,6/8/2024,Hatchback,Third Party,West,12,40,11600,5,11020,7502.269995,2024,3517.730005,847.6923077,1,Low,11091.59585,-0.645496339,0.384615385,Profitable,0.993545037
POL10044,2/4/2024,Hatchback,Comprehensive,East,11,54,13800,0,13800,8712.106378,2024,5087.893622,1150,0,No Discount,11091.59585,24.41852546,0,Profitable,1.244185255
