policy_id,policy_start_date,vehicle_type,policy_type,region,vehicle_age,driver_age,base_premium,discount_pct,final_premium,expected_claim_cost,policy_year,underwriting_margin
POL10001,4/13/2023,SUV,Third Party,West,12,41,16600,0,16600,7675.803615,2023,8924.196385
POL10002,11/27/2023,Sedan,Third Party,West,7,23,14100,0,14100,11110.29157,2023,2989.708434
POL10003,5/6/2024,Luxury,Third Party,West,4,53,19200,0,19200,11710.12939,2024,7489.870605
POL10004,7/14/2024,Sedan,Third Party,West,11,36,13300,0,13300,5802.026232,2024,7497.973768
POL10005,7/16/2024,Sedan,Comprehensive,North,2,57,13100,5,12445,5826.869088,2024,6618.130912
POL10006,6/16/2023,Hatchback,Comprehensive,South,1,29,10800,0,10800,5317.461327,2023,5482.538673
POL10007,4/2/2023,Sedan,Third Party,North,7,55,12100,15,10285,5178.620844,2023,5106.379156
POL10008,1/23/2024,Hatchback,Comprehensive,South,3,49,11400,15,9690,6880.414823,2024,2809.585177
POL10009,6/11/2023,Sedan,Comprehensive,East,14,28,16700,5,15865,9651.214214,2023,6213.785786
POL10010,12/2/2024,Hatchback,Third Party,South,14,44,12200,0,12200,6250.960407,2024,5949.039593
POL10011,1/15/2024,Hatchback,Third Party,North,0,45,8000,15,6800,4820.505772,2024,1979.494228
POL10012,10/9/2024,Hatchback,Comprehensive,North,7,55,12600,10,11340,7284.634446,2024,4055.365554
POL10013,5/4/2024,Sedan,Third Party,East,8,28,12400,0,12400,5433.234178,2024,6966.765822
POL10014,5/17/2024,Hatchback,Third Party,East,11,60,11300,0,11300,7056.820285,2024,4243.179715
POL10015,9/4/2024,Luxury,Comprehensive,North,9,34,23200,5,22040,13424.41262,2024,8615.587376
POL10016,1/15/2023,Hatchback,Comprehensive,East,14,52,14700,5,13965,7341.99251,2023,6623.00749
POL10017,4/6/2023,SUV,Third Party,East,12,35,16600,10,14940,7343.297837,2023,7596.702163
POL10018,6/9/2023,Sedan,Comprehensive,West,1,62,12800,10,11520,7526.72451,2023,3993.27549
POL10019,10/7/2024,Sedan,Third Party,West,13,31,13900,0,13900,6238.809028,2024,7661.190972
POL10020,4/17/2024,Hatchback,Third Party,North,10,33,11000,10,9900,3987.530437,2024,5912.469563
POL10021,3/31/2024,Sedan,Comprehensive,North,2,62,13100,0,13100,10180.84685,2024,2919.153151
POL10022,1/9/2024,Hatchback,Comprehensive,West,0,32,10500,0,10500,6288.443725,2024,4211.556275
POL10023,4/23/2023,Hatchback,Comprehensive,East,0,22,12500,5,11875,4994.524068,2023,6880.475932
POL10024,8/13/2023,Sedan,Comprehensive,North,11,46,15800,15,13430,6672.320919,2023,6757.679081
POL10025,3/14/2024,SUV,Third Party,East,5,44,14500,5,13775,10928.66151,2024,2846.338494
POL10026,5/25/2024,Hatchback,Comprehensive,West,10,26,13500,5,12825,9533.380669,2024,3291.619331
POL10027,2/7/2024,SUV,Comprehensive,West,6,61,17300,5,16435,9116.398167,2024,7318.601833
POL10028,12/4/2023,SUV,Comprehensive,North,8,43,17900,5,17005,11534.72548,2023,5470.274516
POL10029,9/20/2023,SUV,Comprehensive,North,3,22,18400,15,15640,12295.66346,2023,3344.336538
POL10030,3/28/2024,Luxury,Comprehensive,North,8,55,22900,10,20610,15223.87446,2024,5386.125543
POL10031,2/8/2024,SUV,Comprehensive,West,3,31,16400,15,13940,9955.059471,2024,3984.940529
POL10032,4/14/2023,Sedan,Third Party,South,8,55,12400,15,10540,5413.010829,2023,5126.989171
POL10033,12/4/2023,Sedan,Comprehensive,North,8,56,14900,10,13410,6636.604105,2023,6773.395895
POL10034,10/4/2023,Hatchback,Third Party,West,6,23,11800,5,11210,7032.295777,2023,4177.704223
POL10035,4/4/2024,Sedan,Comprehensive,South,13,50,16400,15,13940,7767.912913,2024,6172.087087
POL10036,3/13/2024,Luxury,Comprehensive,North,13,53,24400,5,23180,13838.62406,2024,9341.375943
POL10037,3/28/2024,Hatchback,Comprehensive,West,2,37,11100,15,9435,5547.570596,2024,3887.429404
POL10038,2/15/2023,Luxury,Third Party,North,4,44,19200,0,19200,11925.23495,2023,7274.765055
POL10039,8/29/2024,Luxury,Comprehensive,East,12,41,24100,0,24100,12228.09762,2024,11871.90238
POL10040,11/19/2023,Hatchback,Comprehensive,East,5,23,14000,5,13300,5836.978947,2023,7463.021053
POL10041,10/15/2023,SUV,Third Party,East,10,62,16000,10,14400,10026.82724,2023,4373.172762
POL10042,1/28/2024,SUV,Third Party,North,9,46,15700,10,14130,10552.69274,2024,3577.307255
POL10043,6/8/2024,Hatchback,Third Party,West,12,40,11600,5,11020,7502.269995,2024,3517.730005
POL10044,2/4/2024,Hatchback,Comprehensive,East,11,54,13800,0,13800,8712.106378,2024,5087.893622
POL10045,2/20/2023,Sedan,Comprehensive,North,5,42,14000,0,14000,5817.474513,2023,8182.525487
POL10046,2/23/2023,Sedan,Third Party,West,4,64,11200,15,9520,5549.265735,2023,3970.734265
POL10047,12/16/2023,Sedan,Comprehensive,West,12,62,16100,0,16100,11560.99909,2023,4539.000906
POL10048,8/26/2024,SUV,Third Party,South,4,43,14200,0,14200,9590.679436,2024,4609.320564
POL10049,10/2/2024,Hatchback,Third Party,South,13,45,11900,5,11305,5787.861082,2024,5517.138918
POL10050,9/29/2023,Sedan,Comprehensive,North,5,49,14000,0,14000,6987.293541,2023,7012.706459
POL10051,10/17/2024,Hatchback,Third Party,North,13,48,11900,0,11900,4953.869099,2024,6946.130901
POL10052,3/28/2024,Sedan,Third Party,West,4,59,11200,0,11200,6561.738682,2024,4638.261318
POL10053,12/23/2023,Sedan,Comprehensive,North,3,54,13400,0,13400,5442.032336,2023,7957.967664
POL10054,10/20/2024,Sedan,Comprehensive,North,12,24,18100,5,17195,13370.08646,2024,3824.913544
POL10055,9/15/2023,Hatchback,Comprehensive,East,3,44,11400,5,10830,6815.826025,2023,4014.173975
POL10056,6/28/2024,Sedan,Comprehensive,North,11,23,17800,10,16020,10582.71442,2024,5437.285582
POL10057,2/12/2023,Hatchback,Third Party,East,13,22,13900,0,13900,8997.491597,2023,4902.508403
POL10058,12/27/2024,Hatchback,Third Party,South,9,46,10700,0,10700,5395.772581,2024,5304.227419
POL10059,7/15/2023,SUV,Third Party,East,12,56,16600,0,16600,13064.73486,2023,3535.265138
POL10060,11/6/2024,Hatchback,Comprehensive,West,2,55,11100,0,11100,6091.760301,2024,5008.239699
POL10061,4/6/2023,Hatchback,Comprehensive,North,11,33,13800,10,12420,6151.557205,2023,6268.442795
POL10062,9/30/2023,Sedan,Comprehensive,North,5,33,14000,10,12600,7001.576461,2023,5598.423539
POL10063,1/31/2024,Luxury,Comprehensive,North,6,48,22300,15,18955,14789.50339,2024,4165.496612
POL10064,5/20/2024,Sedan,Comprehensive,East,11,45,15800,5,15010,7281.218282,2024,7728.781718
POL10065,7/18/2024,SUV,Comprehensive,North,4,62,16700,15,14195,11332.89759,2024,2862.102408
POL10066,9/25/2024,Sedan,Comprehensive,East,10,38,15500,15,13175,8895.918154,2024,4279.081846
POL10067,5/6/2024,SUV,Comprehensive,South,12,60,19100,0,19100,13919.01085,2024,5180.989147
POL10068,9/25/2024,Hatchback,Comprehensive,South,2,28,11100,0,11100,6085.651133,2024,5014.348867
POL10069,5/14/2024,Hatchback,Comprehensive,North,3,56,11400,0,11400,4940.763268,2024,6459.236732
POL10070,3/20/2024,Sedan,Comprehensive,South,9,39,15200,0,15200,9075.160634,2024,6124.839366
POL10071,10/14/2024,Sedan,Comprehensive,West,11,28,15800,0,15800,10423.00911,2024,5376.990891
POL10072,1/1/2023,SUV,Third Party,North,14,45,17200,10,15480,7576.505432,2023,7903.494568
