user_id,subscription_plan,churn_flag,avg_watch_minutes,avg_sessions,engagement_volatility,avg_watch_7d,avg_watch_30d,revenue_30d,engagement_trend,engagement_score
U00001,Basic,1,122.3275362,4.547826087,71.76433857,122.1228847,122.1846362,14.14057971,0.143272425,28.76606075
U00002,Basic,1,121.375,4.6015625,63.78636763,121.9554067,121.5219006,14.36328125,-0.337560612,30.79455846
U00003,Basic,1,124.5448276,4.583908046,67.80990385,123.9474111,122.4524691,14.26149425,0.251152074,30.85013229
U00004,Free,1,128.3532468,4.927272727,69.01436583,128.1663575,127.6709146,5.371558442,-0.169270833,32.11517077
U00005,Basic,1,121.9921671,4.738903394,63.30550928,121.2900659,120.1391292,14.5424282,0.096484667,31.22688508
U00006,Basic,1,113.7572254,4.312138728,65.99736937,112.6592623,112.9370353,13.25,0.503322259,26.99732098
U00007,Basic,1,125.1097308,4.714285714,68.39801726,124.7368776,124.2521619,14.64440994,0.027860107,30.93877288
U00008,Premium,1,124.4084211,4.648421053,69.08215288,124.2611479,123.0305415,23.20673684,-0.119650392,30.43324887
U00009,Premium,1,128.8618785,4.806629834,68.17698427,128.1115496,127.5859137,22.3359116,0.473809524,32.53364505
U00010,Free,1,120.1094891,4.508515815,67.73954262,120.0071139,120.1850715,5.217153285,0,29.07448758
U00011,Basic,1,119.0742188,4.49609375,65.03633011,118.5164807,117.9190483,13.76269531,0.197759104,29.46761659
U00012,Basic,1,126.0551471,4.779411765,67.40172241,126.3499737,126.7985537,14.81112132,-0.203630624,31.63536563
U00013,Free,1,123.8501529,4.868501529,62.30296331,123.9982161,123.8958614,5.215321101,0.074496056,32.30972263
U00014,Basic,1,122.5502008,4.620481928,66.90757515,122.5667145,122.3021196,14.50853414,0.024144869,30.33395235
U00015,Free,1,120.5164234,4.673357664,64.8834231,120.3731144,120.6918193,5.300419708,-0.067641682,30.14354971
U00016,Free,1,125.0833333,4.838888889,72.702125,125.5118783,127.0538063,5.0995,0.065442937,29.6743625
U00017,Free,1,119.7872928,4.627071823,64.00154147,119.5938371,119.8411059,5.201270718,0.048278591,30.10257623
U00018,Free,1,117.6120219,4.256830601,64.76967857,115.7701015,113.8409701,4.73442623,0.593406593,28.89095435
U00019,Premium,1,128.5789474,4.947368421,69.50406672,127.8190476,123.4140426,20.71157895,0.305471125,32.06456946
U00020,Premium,1,119.1097804,4.614770459,66.49164346,118.4031651,117.0974731,22.90858283,0.114857143,29.08085028
U00021,Free,1,123.167979,4.564304462,66.30730981,123.7266154,124.2041639,5.155984252,-0.259022556,30.74429
U00022,Free,1,124.2488688,4.504524887,67.67976071,124.5019877,124.4146959,5.110248869,-0.281179138,30.74697677
U00023,Premium,1,116.2736842,4.221052632,62.41157319,116.8297494,120.0021038,19.58315789,-0.130699088,29.05231752
U00024,Free,1,121.0163488,4.585831063,66.86343487,120.6035357,119.913184,5.292997275,0.094847775,29.72325837
U00025,Free,1,136.4722222,4.958333333,72.92081927,136.2041171,138.3671364,4.97625,0.300699301,34.20014311
U00026,Free,1,124.1193416,4.49382716,65.53080217,125.3817852,128.4235737,5.054814815,-0.289256198,31.33664412
U00027,Free,1,125.4371257,4.648702595,69.08821948,125.1591531,124.5356591,5.15491018,0.166857143,30.84299523
U00028,Free,1,121.1236559,4.517921147,69.38425407,121.2835595,120.9561967,5.36311828,-0.129263914,28.98956249
U00029,Free,1,119.8783784,4.628378378,66.14840544,119.6887548,116.351708,4.640878378,0.21574344,29.49534323
U00030,Basic,1,122.8058076,4.793103448,69.20573009,123.0982543,123.1089359,14.75,-0.061038961,29.79853506
U00031,Free,1,119.8035191,4.37829912,65.77590994,119.2632523,118.0446317,4.956774194,0.167226891,29.50212438
U00032,Basic,1,115.6782609,4.565217391,66.87881421,115.5274741,115.3208955,13.09782609,0.036340852,27.5772253
U00033,Free,1,128.1188811,5,69.17928662,126.6864136,126.1223711,5.199230769,0.620724346,31.99376646
U00034,Basic,1,119.2947977,4.378612717,66.76287932,119.4218002,119.448035,13.82586705,0.001242236,29.00263909
U00035,Free,1,125.5558195,4.60807601,67.09512915,125.0964371,125.2768173,5.246793349,0.107142857,31.47621185
U00036,Basic,1,127.5734767,4.666666667,69.4589002,128.1925926,127.5658585,14.17204301,-0.184994861,31.59172062
U00037,Free,1,117.9345238,4.553571429,68.03890525,118.1406037,117.7215207,4.942142857,-0.031650984,28.12820938
U00038,Free,1,119.9090909,4.375,71.08965821,119.7061147,119.3779483,5.003693182,0.139194139,27.9492389
U00039,Free,1,127.1637631,4.714285714,66.80389542,127.7159283,127.466331,5.146933798,-0.27972028,32.23862232
U00040,Basic,1,125.518931,4.739420935,68.53701838,125.6163538,125.3518264,14.77951002,0.019770408,31.06829315
U00041,Premium,1,127.2138837,4.876172608,68.11831173,126.9500536,126.6162911,23.76060038,0.077604726,31.91291173
U00042,Premium,1,126.3163017,4.749391727,67.00702979,126.8307786,128.1908806,23.47250608,-0.120905923,31.84922926
U00043,Basic,1,128.6701571,4.832460733,69.81314737,128.806744,129.7858244,14.28141361,-0.45112782,31.97385684
U00044,Free,1,119.9601594,4.701195219,68.18506925,119.7435781,117.5728384,5.170398406,-0.099428571,28.93890154
U00045,Free,1,127.4082278,4.841772152,70.11534965,127.6741184,128.3968217,5.39306962,0.062585034,31.38121789
U00046,Free,1,119.7268722,4.449339207,69.30037244,119.5461821,120.32215,4.805682819,-0.022123894,28.43543893
U00047,Free,1,127.6487455,4.745519713,70.937678,127.1817631,125.0361483,5.123225806,0.198869476,31.20185072
U00048,Free,1,126.8142857,4.642857143,71.76738184,126.8115193,127.893904,4.991285714,0.174299385,30.58835688
U00049,Basic,1,131.1455696,5.075949367,72.87303358,131.0641953,129.5648531,14.17721519,0.112829845,32.11910258
U00050,Basic,1,118.4117647,4.507352941,68.89922895,116.0510679,115.5585887,13.13786765,0.842328042,28.04714308
U00051,Free,1,121.3343465,4.507598784,68.60784932,121.8225431,122.4218191,5.028966565,-0.326219512,29.30366344
