date,product_id,sales_qty,inventory_qty,purchase_qty,unit_price,avg_demand_7,avg_demand_30,demand_volatility,inventory_coverage,demand_change,inventory_stress,stockout_risk,overstock_risk,mismatch_type,risk_score,lost_sales_qty,lost_revenue,excess_inventory_qty,overstock_cost
1/1/2023,P001,18,633,21,173,18,18,,35.16666667,,0.028436019,0,0,Balanced,,0,0,0,0
1/2/2023,P001,25,608,39,173,21.5,21.5,4.949747468,28.27906977,3.5,0.035361842,0,0,Balanced,2.202605162,0,0,0,0
1/3/2023,P001,21,587,35,173,21.33333333,21.33333333,3.511884584,27.515625,-0.166666667,0.036342987,0,0,Balanced,1.105070202,0,0,0,0
1/4/2023,P001,20,567,36,173,21,21,2.943920289,27,-0.333333333,0.037037037,0,0,Balanced,0.968361272,0,0,0,0
1/5/2023,P001,25,542,23,173,21.8,21.8,3.1144823,24.86238532,0.8,0.040221402,0,0,Balanced,1.114455391,0,0,0,0
1/6/2023,P001,23,519,35,173,22,22,2.828427125,23.59090909,0.2,0.04238921,0,0,Balanced,0.909722742,0,0,0,0
1/7/2023,P001,32,487,24,173,23.42857143,23.42857143,4.577377082,20.78658537,1.428571429,0.04810795,0,0,Balanced,1.682981385,0,0,0,0
1/8/2023,P001,30,457,32,173,25.14285714,24.25,4.450789122,18.17613636,1.714285714,0.055017193,0,0,Balanced,1.705602476,0,0,0,0
1/9/2023,P001,21,436,7,173,24.57142857,23.88888889,4.720774755,17.74418605,-0.571428571,0.056356488,0,0,Balanced,1.558696385,0,0,0,0
1/10/2023,P001,29,407,36,173,25.71428571,24.4,4.680252333,15.82777778,1.142857143,0.063180063,0,0,Balanced,1.66423716,0,0,0,0
1/11/2023,P001,22,385,26,173,26,24.18181818,4.320493799,14.80769231,0.285714286,0.067532468,0,0,Balanced,1.387057231,0,0,0,0
1/12/2023,P001,29,356,19,173,26.57142857,24.58333333,4.429339411,13.39784946,0.571428571,0.074638844,0,0,Balanced,1.48040696,0,0,0,0
1/13/2023,P001,22,334,23,173,26.42857143,24.38461538,4.577377082,12.63783784,-0.142857143,0.079127459,0,0,Balanced,1.441348283,0,0,0,0
1/14/2023,P001,28,306,35,173,25.85714286,24.64285714,3.97611919,11.83425414,-0.571428571,0.084500467,0,0,Balanced,1.349371705,0,0,0,0
1/15/2023,P001,21,285,30,173,24.57142857,24.4,3.866830867,11.59883721,-1.285714286,0.086215539,0,0,Balanced,1.460299887,0,0,0,0
1/16/2023,P001,27,258,9,173,25.42857143,24.5625,3.598941643,10.14606742,0.857142857,0.098560354,0,0,Balanced,1.300391242,0,0,0,0
1/17/2023,P001,25,233,24,173,24.85714286,24.58823529,3.236694375,9.373563218,-0.571428571,0.106683017,0,0,Balanced,1.138635535,0,0,0,0
1/18/2023,P001,31,202,6,173,26.14285714,24.94444444,3.670993119,7.726775956,1.285714286,0.129420085,0,0,Balanced,1.423150835,0,0,0,0
1/19/2023,P001,27,175,25,173,25.85714286,25.05263158,3.484660262,6.767955801,-0.285714286,0.147755102,0,0,Balanced,1.176418487,0,0,0,0
1/20/2023,P001,27,148,32,173,26.57142857,25.15,3.047247001,5.569892473,0.714285714,0.17953668,0,0,Balanced,1.146799583,0,0,0,0
1/21/2023,P001,26,390,24,173,26.28571429,25.19047619,2.984084768,14.83695652,-0.285714286,0.067399267,0,0,Balanced,0.986067921,0,0,0,0
1/22/2023,P001,35,355,15,173,28.28571429,25.63636364,3.498298906,12.55050505,2,0.079678068,0,0,Balanced,1.489328706,0,0,0,0
1/23/2023,P001,21,334,7,173,27.42857143,25.43478261,4.466808811,12.17708333,-0.857142857,0.082121471,0,0,Balanced,1.55253195,0,0,0,0
1/24/2023,P001,31,303,24,173,28.28571429,25.66666667,4.498677054,10.71212121,0.857142857,0.093352192,0,0,Balanced,1.567707784,0,0,0,0
1/25/2023,P001,29,274,36,173,28,25.8,4.358898944,9.785714286,-0.285714286,0.102189781,0,0,Balanced,1.415907431,0,0,0,0
1/26/2023,P001,21,253,29,173,27.14285714,25.61538462,5.113008619,9.321052632,-0.857142857,0.10728402,0,0,Balanced,1.758973167,0,0,0,0
1/27/2023,P001,19,234,25,173,26,25.37037037,5.972157622,9,-1.142857143,0.111111111,0,0,Balanced,2.075774271,0,0,0,0
1/28/2023,P001,21,213,20,173,25.28571429,25.21428571,6.264031868,8.423728814,-0.714285714,0.118712274,0,0,Balanced,2.08142284,0,0,0,0
1/29/2023,P001,28,185,5,173,24.28571429,25.31034483,4.855041562,7.617647059,-1,0.131274131,0,0,Balanced,1.722149534,0,0,0,0
1/30/2023,P001,26,159,27,173,25,25.33333333,4.654746681,6.36,0.714285714,0.157232704,0,0,Balanced,1.617897499,0,0,0,0
1/31/2023,P001,30,129,28,173,24.85714286,25.73333333,4.450789122,5.189655172,-0.142857143,0.19269103,0,0,Balanced,1.46015368,0,0,0,0
2/1/2023,P001,27,447,29,173,24.57142857,25.8,4.197504928,18.19186047,-0.285714286,0.054969639,0,0,Balanced,1.343879155,0,0,0,0
2/2/2023,P001,27,420,11,173,25.42857143,26,3.95209408,16.51685393,0.857142857,0.060544218,0,0,Balanced,1.387328904,0,0,0,0
2/3/2023,P001,31,389,39,173,27.14285714,26.36666667,3.236694375,14.33157895,1.714285714,0.069775982,0,0,Balanced,1.348753446,0,0,0,0
2/4/2023,P001,33,356,18,173,28.85714286,26.63333333,2.544836041,12.33663366,1.714285714,0.08105939,0,0,Balanced,1.14683765,0,0,0,0
2/5/2023,P001,23,333,13,173,28.14285714,26.63333333,3.38765265,11.83248731,-0.714285714,0.084513085,0,0,Balanced,1.20140948,0,0,0,0
2/6/2023,P001,25,308,7,173,28,26.4,3.511884584,11,-0.142857143,0.090909091,0,0,Balanced,1.127591349,0,0,0,0
2/7/2023,P001,23,285,24,173,27,26.16666667,3.829708431,10.55555556,-1,0.094736842,0,0,Balanced,1.39628095,0,0,0,0
2/8/2023,P001,19,266,37,173,25.85714286,26.1,4.879500365,10.28729282,-1.142857143,0.097207304,0,0,Balanced,1.74102519,0,0,0,0
2/9/2023,P001,28,238,36,173,26,26.06666667,4.932882862,9.153846154,0.142857143,0.109243697,0,0,Balanced,1.563058136,0,0,0,0
2/10/2023,P001,25,213,30,173,25.14285714,26.16666667,4.413183712,8.471590909,-0.857142857,0.118041583,0,0,Balanced,1.554404476,0,0,0,0
2/11/2023,P001,21,192,9,173,23.42857143,25.9,2.935821456,8.195121951,-1.714285714,0.12202381,0,0,Balanced,1.284615484,0,0,0,0
2/12/2023,P001,32,160,34,173,24.71428571,26.23333333,4.34796066,6.473988439,1.285714286,0.154464286,0,0,Balanced,1.638763198,0,0,0,0
2/13/2023,P001,23,137,21,173,24.42857143,26.06666667,4.391550328,5.608187135,-0.285714286,0.17831074,0,0,Balanced,1.463763326,0,0,0,0
