date,product_id,sales_qty,inventory_qty,purchase_qty,unit_price
2023-01-01,P001,18,633,21,173
2023-01-02,P001,25,608,39,173
2023-01-03,P001,21,587,35,173
2023-01-04,P001,20,567,36,173
2023-01-05,P001,25,542,23,173
2023-01-06,P001,23,519,35,173
2023-01-07,P001,32,487,24,173
2023-01-08,P001,30,457,32,173
2023-01-09,P001,21,436,7,173
2023-01-10,P001,29,407,36,173
2023-01-11,P001,22,385,26,173
2023-01-12,P001,29,356,19,173
2023-01-13,P001,22,334,23,173
2023-01-14,P001,28,306,35,173
2023-01-15,P001,21,285,30,173
2023-01-16,P001,27,258,9,173
2023-01-17,P001,25,233,24,173
2023-01-18,P001,31,202,6,173
2023-01-19,P001,27,175,25,173
2023-01-20,P001,27,148,32,173
2023-01-21,P001,26,390,24,173
2023-01-22,P001,35,355,15,173
2023-01-23,P001,21,334,7,173
2023-01-24,P001,31,303,24,173
2023-01-25,P001,29,274,36,173
2023-01-26,P001,21,253,29,173
2023-01-27,P001,19,234,25,173
2023-01-28,P001,21,213,20,173
2023-01-29,P001,28,185,5,173
2023-01-30,P001,26,159,27,173
2023-01-31,P001,30,129,28,173
2023-02-01,P001,27,447,29,173
2023-02-02,P001,27,420,11,173
2023-02-03,P001,31,389,39,173
2023-02-04,P001,33,356,18,173
2023-02-05,P001,23,333,13,173
2023-02-06,P001,25,308,7,173
2023-02-07,P001,23,285,24,173
2023-02-08,P001,19,266,37,173
2023-02-09,P001,28,238,36,173
2023-02-10,P001,25,213,30,173
2023-02-11,P001,21,192,9,173
2023-02-12,P001,32,160,34,173
2023-02-13,P001,23,137,21,173
2023-02-14,P001,26,365,10,173
2023-02-15,P001,20,345,19,173
2023-02-16,P001,28,317,5,173
2023-02-17,P001,30,287,17,173
2023-02-18,P001,20,267,38,173
2023-02-19,P001,25,242,34,173
2023-02-20,P001,26,216,23,173
2023-02-21,P001,20,196,6,173
2023-02-22,P001,32,164,16,173
2023-02-23,P001,21,143,28,173
2023-02-24,P001,24,367,15,173
2023-02-25,P001,28,339,6,173
2023-02-26,P001,30,309,5,173
2023-02-27,P001,22,287,32,173
2023-02-28,P001,26,261,8,173
2023-03-01,P001,17,244,34,173
2023-03-02,P001,22,222,11,173
2023-03-03,P001,26,196,26,173
2023-03-04,P001,25,171,30,173
2023-03-05,P001,20,151,33,173
2023-03-06,P001,22,129,29,173
2023-03-07,P001,26,322,14,173
2023-03-08,P001,29,293,24,173
2023-03-09,P001,24,269,18,173
2023-03-10,P001,26,243,37,173
2023-03-11,P001,25,218,9,173
2023-03-12,P001,34,184,10,173
2023-03-13,P001,26,158,26,173
2023-03-14,P001,22,136,21,173
2023-03-15,P001,24,521,19,173
2023-03-16,P001,34,487,32,173
2023-03-17,P001,21,466,6,173
2023-03-18,P001,28,438,22,173
2023-03-19,P001,19,419,31,173
2023-03-20,P001,23,396,25,173
2023-03-21,P001,26,370,27,173
2023-03-22,P001,19,351,11,173
2023-03-23,P001,32,319,23,173
2023-03-24,P001,24,295,13,173
2023-03-25,P001,16,279,16,173
2023-03-26,P001,30,249,34,173
2023-03-27,P001,27,222,11,173
2023-03-28,P001,24,198,6,173
2023-03-29,P001,21,177,21,173
2023-03-30,P001,28,149,15,173
2023-03-31,P001,31,389,16,173
2023-04-01,P001,18,371,7,173
2023-04-02,P001,22,349,25,173
2023-04-03,P001,27,322,18,173
2023-04-04,P001,16,306,19,173
2023-04-05,P001,28,278,14,173
2023-04-06,P001,19,259,14,173
2023-04-07,P001,29,230,21,173
2023-04-08,P001,16,214,29,173
2023-04-09,P001,24,190,31,173
2023-04-10,P001,27,163,37,173
2023-04-11,P001,28,135,15,173
2023-04-12,P001,31,598,17,173
2023-04-13,P001,20,578,5,173
2023-04-14,P001,24,554,35,173
2023-04-15,P001,36,518,37,173
2023-04-16,P001,26,492,25,173
2023-04-17,P001,37,455,20,173
2023-04-18,P001,22,433,27,173
2023-04-19,P001,20,413,14,173
2023-04-20,P001,27,386,37,173
2023-04-21,P001,20,366,26,173
2023-04-22,P001,31,335,10,173
2023-04-23,P001,23,312,14,173
2023-04-24,P001,23,289,20,173
2023-04-25,P001,38,251,17,173
2023-04-26,P001,21,230,24,173
2023-04-27,P001,28,202,8,173
2023-04-28,P001,16,186,24,173
2023-04-29,P001,20,166,26,173
2023-04-30,P001,30,136,33,173
2023-05-01,P001,13,408,20,173
2023-05-02,P001,24,384,27,173
2023-05-03,P001,17,367,34,173
2023-05-04,P001,22,345,34,173
2023-05-05,P001,34,311,7,173
2023-05-06,P001,27,284,28,173
2023-05-07,P001,25,259,17,173
2023-05-08,P001,26,233,36,173
2023-05-09,P001,27,206,16,173
2023-05-10,P001,31,175,12,173
2023-05-11,P001,22,153,28,173
2023-05-12,P001,19,134,20,173
2023-05-13,P001,28,451,36,173
2023-05-14,P001,19,432,38,173
2023-05-15,P001,24,408,39,173
2023-05-16,P001,24,384,36,173
2023-05-17,P001,25,359,21,173
2023-05-18,P001,29,330,6,173
2023-05-19,P001,24,306,30,173
2023-05-20,P001,28,278,21,173
2023-05-21,P001,15,263,6,173
2023-05-22,P001,25,238,12,173
2023-05-23,P001,21,217,10,173
2023-05-24,P001,23,194,13,173
2023-05-25,P001,24,170,5,173
2023-05-26,P001,31,139,9,173
2023-05-27,P001,22,596,13,173
2023-05-28,P001,20,576,18,173
2023-05-29,P001,16,560,31,173
2023-05-30,P001,29,531,13,173
2023-05-31,P001,22,509,33,173
2023-06-01,P001,32,477,24,173
2023-06-02,P001,23,454,19,173
2023-06-03,P001,28,426,7,173
2023-06-04,P001,27,399,27,173
2023-06-05,P001,25,374,13,173
2023-06-06,P001,18,356,34,173
