order_item_id,order_id,product_id,quantity,price
1,1,22,3,3115.88
2,2,17,2,1064.42
3,2,13,1,2867.03
4,2,14,3,1756.98
5,2,19,1,3858.84
6,3,1,2,4826.06
7,4,10,1,414.37
8,4,26,3,396.95
9,4,17,1,1064.42
10,4,5,2,589.21
11,5,27,3,1405.02
12,5,26,1,396.95
13,5,23,3,4161.52
14,6,11,2,3400.04
15,6,8,1,930.58
16,6,3,2,4033.76
17,7,36,2,546.6
18,8,12,2,1282.01
19,8,18,3,3706.97
20,8,31,2,1804.53
21,9,36,3,546.6
22,10,3,2,4033.76
23,10,10,3,414.37
24,10,14,1,1756.98
25,10,26,2,396.95
26,11,7,2,1818.5
27,11,39,3,980.85
28,12,39,2,980.85
29,13,40,1,378.74
30,13,30,3,3499.96
31,13,18,2,3706.97
32,13,1,3,4826.06
33,14,4,3,1750.76
34,14,11,1,3400.04
35,14,18,2,3706.97
36,14,27,3,1405.02
37,15,40,2,378.74
38,15,28,1,1570.25
39,16,26,3,396.95
40,16,6,1,2994.1
41,16,9,3,2497.12
42,17,24,2,677.78
43,17,1,3,4826.06
44,17,30,2,3499.96
45,18,8,2,930.58
46,18,38,3,3245.43
47,19,40,3,378.74
48,19,2,2,4716.05
49,20,39,2,980.85
50,21,22,1,3115.88
51,21,35,3,4044.29
52,22,12,3,1282.01
53,23,9,1,2497.12
54,23,5,1,589.21
55,23,25,3,1090.57
56,24,7,2,1818.5
57,24,30,1,3499.96
58,24,37,3,3692.8
59,24,21,1,4157.75
60,25,27,2,1405.02
61,25,40,3,378.74
62,25,26,2,396.95
63,26,17,2,1064.42
64,26,4,3,1750.76
65,26,3,3,4033.76
66,27,32,2,1721.2
67,27,40,3,378.74
68,28,1,1,4826.06
69,28,28,3,1570.25
70,28,35,3,4044.29
71,29,9,3,2497.12
72,29,16,2,2998.3
73,29,39,3,980.85
74,29,23,1,4161.52
75,30,9,2,2497.12
76,30,18,3,3706.97
77,30,27,1,1405.02
78,31,7,2,1818.5
79,31,9,1,2497.12
80,31,24,2,677.78
81,32,14,2,1756.98
82,32,39,1,980.85
83,33,21,2,4157.75
84,34,39,1,980.85
85,34,34,2,859.91
86,35,38,3,3245.43
87,36,9,2,2497.12
88,36,31,1,1804.53
89,36,34,3,859.91
90,36,39,2,980.85
91,37,16,2,2998.3
92,37,33,1,2320.66
93,37,21,2,4157.75
94,38,9,1,2497.12
95,38,18,1,3706.97
96,39,37,3,3692.8
97,40,31,2,1804.53
98,40,18,1,3706.97
99,40,24,3,677.78
100,40,3,1,4033.76
101,41,18,1,3706.97
102,41,23,2,4161.52
103,42,6,3,2994.1
104,43,5,3,589.21
105,44,40,2,378.74
106,44,6,3,2994.1
107,45,29,1,1518.22
108,45,17,3,1064.42
109,46,3,3,4033.76
110,46,32,3,1721.2
111,46,6,1,2994.1
112,46,20,3,4688.81
113,47,17,2,1064.42
114,48,14,3,1756.98
115,48,10,1,414.37
116,48,35,3,4044.29
117,49,14,2,1756.98
118,49,30,3,3499.96
119,50,24,1,677.78
120,50,40,1,378.74
121,50,16,3,2998.3
122,50,23,1,4161.52
123,51,38,3,3245.43
124,51,32,3,1721.2
125,52,34,3,859.91
126,52,10,3,414.37
127,52,6,2,2994.1
128,52,32,1,1721.2
129,53,7,2,1818.5
130,53,11,2,3400.04
131,53,36,2,546.6
132,53,3,2,4033.76
133,54,10,1,414.37
134,54,1,3,4826.06
135,54,28,1,1570.25
136,54,33,3,2320.66
137,55,36,1,546.6
138,55,39,1,980.85
139,55,40,3,378.74
140,56,4,1,1750.76
141,57,28,1,1570.25
142,58,9,3,2497.12
143,58,33,3,2320.66
144,59,10,3,414.37
145,60,31,1,1804.53
146,60,37,2,3692.8
147,61,28,3,1570.25
148,61,16,1,2998.3
149,61,23,1,4161.52
150,62,18,2,3706.97
151,62,9,3,2497.12
152,63,8,2,930.58
153,63,24,3,677.78
154,63,32,3,1721.2
155,64,28,2,1570.25
156,64,30,2,3499.96
157,64,29,1,1518.22
158,64,10,1,414.37
159,65,20,3,4688.81
160,65,5,3,589.21
161,65,30,3,3499.96
162,66,33,1,2320.66
163,66,35,3,4044.29
164,67,37,2,3692.8
165,68,39,2,980.85
166,69,19,1,3858.84
167,69,2,2,4716.05
168,70,27,3,1405.02
169,70,31,3,1804.53
170,71,28,3,1570.25
171,72,9,2,2497.12
172,72,37,2,3692.8
173,72,8,2,930.58
174,73,33,1,2320.66
175,73,30,1,3499.96
176,73,38,1,3245.43
177,74,32,3,1721.2
178,75,13,3,2867.03
179,76,10,1,414.37
180,76,21,2,4157.75
181,76,32,2,1721.2
182,77,11,2,3400.04
183,77,29,2,1518.22
184,77,27,2,1405.02
185,77,7,2,1818.5
186,78,21,2,4157.75
187,78,15,3,2620.98
188,78,25,3,1090.57
189,78,27,1,1405.02
190,79,1,3,4826.06
191,79,21,1,4157.75
192,79,40,1,378.74
193,79,31,2,1804.53
194,80,5,1,589.21
195,80,10,2,414.37
196,80,6,1,2994.1
197,80,7,1,1818.5
198,81,35,2,4044.29
199,81,23,2,4161.52
200,81,28,1,1570.25
201,82,34,3,859.91
202,82,11,2,3400.04
203,82,8,3,930.58
204,82,33,1,2320.66
205,83,10,3,414.37
206,83,26,3,396.95
207,83,35,2,4044.29
208,84,6,2,2994.1
209,84,16,1,2998.3
210,85,39,2,980.85
211,85,40,2,378.74
212,85,31,1,1804.53
213,86,7,1,1818.5
214,87,17,2,1064.42
215,87,32,1,1721.2
216,87,11,3,3400.04
217,87,23,3,4161.52
218,88,24,1,677.78
219,89,21,2,4157.75
220,89,34,3,859.91
221,90,25,1,1090.57
222,90,17,1,1064.42
223,91,17,2,1064.42
224,91,23,3,4161.52
225,91,16,3,2998.3
226,91,6,2,2994.1
227,92,23,2,4161.52
228,92,7,2,1818.5
229,93,26,3,396.95
230,93,34,1,859.91
231,94,11,1,3400.04
232,95,3,1,4033.76
233,95,23,1,4161.52
234,95,5,2,589.21
235,96,40,3,378.74
236,96,1,2,4826.06
237,96,28,1,1570.25
238,97,36,2,546.6
239,98,17,1,1064.42
240,99,40,1,378.74
241,99,30,2,3499.96
242,99,20,3,4688.81
243,100,18,3,3706.97
244,101,40,1,378.74
245,101,3,1,4033.76
246,101,35,1,4044.29
247,101,34,1,859.91
248,102,10,3,414.37
249,102,6,1,2994.1
250,103,23,3,4161.52
251,103,29,3,1518.22
252,103,28,2,1570.25
253,103,16,3,2998.3
254,104,10,1,414.37
255,104,20,3,4688.81
256,105,25,2,1090.57
257,106,5,1,589.21
258,106,28,1,1570.25
259,106,24,1,677.78
260,107,15,1,2620.98
261,107,34,1,859.91
262,108,23,2,4161.52
263,108,10,3,414.37
264,108,18,3,3706.97
265,108,40,3,378.74
266,109,36,3,546.6
267,110,22,1,3115.88
268,110,1,2,4826.06
269,110,30,1,3499.96
270,110,6,1,2994.1
271,111,19,1,3858.84
272,111,9,2,2497.12
273,111,21,2,4157.75
274,112,39,1,980.85
275,112,17,1,1064.42
276,112,8,2,930.58
277,112,29,3,1518.22
278,113,27,2,1405.02
279,113,39,2,980.85
280,113,11,1,3400.04
281,113,24,2,677.78
282,114,25,3,1090.57
283,114,10,3,414.37
284,114,18,1,3706.97
285,114,22,3,3115.88
286,115,16,3,2998.3
287,116,28,3,1570.25
288,117,13,2,2867.03
289,117,7,3,1818.5
290,117,9,1,2497.12
291,118,12,1,1282.01
292,118,29,1,1518.22
293,118,31,2,1804.53
294,118,23,1,4161.52
295,119,13,3,2867.03
296,119,23,1,4161.52
297,120,27,1,1405.02
298,121,9,1,2497.12
299,121,29,2,1518.22
300,121,10,2,414.37
301,122,16,1,2998.3
302,122,12,2,1282.01
303,122,36,2,546.6
