order_item_id,order_id,product_id,quantity,price
1,4073,53,4,11446.3
2,8407,42,1,17863.56
3,3701,11,3,32472.46
4,2510,12,2,42950.65
5,360,56,2,33389.38
6,4379,50,2,23252.26
7,5611,52,3,21384.82
8,8487,36,4,18938.28
9,4459,27,2,44889.91
10,831,27,2,44274.91
11,8684,30,4,1603.69
12,363,55,4,5355.44
13,2739,1,1,6185.2
14,80,26,4,14823.94
15,1265,35,4,2016.26
16,4487,60,1,21570.44
17,7329,8,1,26513.65
18,9796,28,3,45029.73
19,5763,4,2,14496.66
20,2857,31,2,26518.78
21,2651,58,2,22027.63
22,8058,57,1,3113.39
23,7430,12,1,36293.01
24,1982,17,1,20897.2
25,9526,37,3,42130.61
26,9167,49,1,27797.06
27,8089,18,4,26838.08
28,8859,34,4,32352.89
29,7148,22,2,27456.87
30,2829,54,1,16034.66
31,7892,48,3,23589.13
32,2693,12,4,40183.25
33,3046,41,3,28051.92
34,8519,35,4,2049.51
35,5690,13,4,33809.9
36,8133,26,1,20411.99
37,6693,34,4,34852.67
38,6877,13,4,34539.68
39,5354,48,2,26344.06
40,4731,3,4,5224.49
41,1454,59,1,27621.25
42,8943,36,1,18815.63
43,7679,38,3,8130.8
44,4170,48,3,25028.1
45,8888,59,4,32029.64
46,4970,56,1,24699.09
47,3694,35,1,1684.02
48,8031,42,1,19996.82
49,9444,57,2,2745.95
50,7278,5,4,20645.07
51,9478,56,3,32385.98
52,3023,37,2,41204.36
53,3160,56,4,29916.39
54,1033,50,4,27512.62
55,4161,23,4,19176.87
56,4914,44,4,10640.54
57,6543,34,3,33417.96
58,826,7,3,23307.01
59,9862,28,1,33205.22
60,4815,31,3,29690.5
61,1019,41,3,28288.0
62,3399,10,1,16051.67
63,6446,37,3,38964.5
64,347,47,1,38128.09
65,906,35,3,1789.96
66,3680,25,1,18026.66
67,6693,50,3,27313.56
68,6454,6,1,6208.65
69,740,38,1,7215.47
70,1998,37,1,31946.49
71,9511,45,3,28119.92
72,3632,31,1,30231.95
73,2306,24,3,30362.33
74,664,54,2,20113.0
75,9226,29,1,3619.45
76,6275,35,1,2081.12
77,4286,37,2,38363.85
78,8610,35,1,1814.36
79,2010,2,3,44812.97
80,6398,15,4,14300.09
81,8870,44,4,9435.3
82,2998,1,1,5632.01
83,8789,25,1,19274.77
84,7204,10,1,20473.35
85,8001,56,3,24386.78
86,5884,34,4,37712.66
87,428,40,1,33525.76
88,4028,5,3,21835.3
89,9558,18,2,20040.55
90,8558,32,1,26447.82
91,4015,25,1,18541.24
92,8162,2,1,36637.03
93,1504,31,3,29474.54
94,3967,32,2,30715.34
95,1502,21,4,16305.26
96,8356,18,4,24568.22
97,6587,45,4,28664.6
98,6879,9,2,18435.88
99,581,23,4,16139.48
100,4238,38,1,7135.64
101,1125,23,1,14514.86
102,6093,55,2,7170.66
103,3860,16,1,14320.21
104,9756,56,4,33480.96
105,262,15,2,16424.96
106,790,24,2,29999.12
107,7511,52,3,18980.63
108,4349,47,1,35480.66
109,1160,41,1,33275.65
110,1665,38,1,6299.46
111,7869,16,3,16350.95
112,2727,43,3,15486.97
113,4689,21,4,15363.3
114,7730,26,3,19593.24
115,7504,58,3,20858.77
116,5385,45,4,23930.0
117,521,35,2,1501.52
118,5083,45,3,25449.68
119,7756,26,3,17538.39
120,5026,48,2,29246.22
121,2199,36,4,20078.98
122,483,3,2,6128.58
123,4328,26,1,15654.63
124,265,48,1,24420.02
125,6605,7,1,20755.5
126,1396,23,4,16227.45
127,1714,41,2,32262.9
128,121,55,4,7106.38
129,5163,19,1,29902.31
130,8322,13,2,42437.81
131,9133,23,2,20088.67
132,441,1,2,4991.01
133,4411,6,2,7269.79
134,6767,8,4,27974.5
135,9116,38,1,7729.68
136,8912,28,4,41028.3
137,3969,28,4,37655.15
138,8599,16,1,14741.44
139,5768,53,4,12757.04
140,6132,32,3,25326.16
141,4680,23,3,16306.09
142,5377,6,3,6710.3
143,8971,7,1,17859.98
144,8,7,4,20482.7
145,8755,9,2,17130.98
146,8558,26,1,14742.67
147,6344,47,2,34754.82
148,6616,19,2,23041.06
149,748,27,2,43241.29
150,6226,41,3,28508.42
151,5321,13,4,33017.83
152,9892,21,2,14949.24
153,4134,42,2,19351.23
154,3853,28,2,39258.52
155,4916,4,3,13575.77
156,3656,8,2,26367.43
157,5772,33,3,36388.28
158,2868,15,2,16851.84
159,4066,57,1,2801.55
160,1412,52,1,16616.88
161,9912,7,4,20237.07
162,4615,6,4,6171.22
163,4919,50,4,20898.15
164,9342,16,3,15898.97
165,3660,2,2,33519.01
166,9663,25,1,23960.19
167,4485,51,2,38477.22
168,7648,19,2,26425.53
169,4340,52,4,21594.99
170,5598,37,1,44599.08
171,3326,5,3,21457.32
172,1185,59,1,30517.98
173,7593,58,2,24049.72
174,1155,20,2,34616.07
175,8486,56,4,26197.0
176,4329,55,2,6730.27
177,2594,23,1,19474.35
178,9806,15,1,15764.14
179,2285,9,1,14951.0
180,3438,7,1,17301.66
181,2641,37,3,38541.26
182,5711,3,2,5034.15
183,1831,24,4,31010.42
184,3561,21,3,14674.47
185,2668,30,1,1327.24
186,7998,18,4,27134.13
187,9019,58,1,26189.72
188,967,16,4,12325.65
189,8432,45,4,32372.35
190,9507,50,1,19901.28
191,3700,17,1,21085.01
192,8692,49,2,21091.71
193,808,27,2,37762.36
194,1445,44,3,10651.67
195,3827,10,1,18036.92
196,5562,20,1,33975.11
197,3100,47,4,28448.74
198,7238,21,3,17116.74
199,9540,15,3,14428.32
200,1633,11,1,28557.22
201,9784,10,4,18149.47
202,9221,14,3,19999.52
203,2441,57,2,2694.14
204,6247,45,2,28017.72
205,4434,55,1,6129.55
206,9184,48,1,26228.36
207,3708,48,1,21195.88
208,8994,9,4,17133.07
209,8155,45,1,26629.08
210,3429,46,3,3589.59
211,1660,30,3,1637.02
212,8999,15,2,12813.09
213,3180,17,4,17648.52
214,388,54,2,14540.28
215,5129,32,2,33051.7
216,3361,33,2,30501.15
217,6086,16,4,16611.8
218,4144,19,2,28224.61
219,3409,51,4,37167.16
220,6605,2,2,39578.91
221,8988,57,2,2717.67
222,6007,4,3,13547.05
223,1653,5,2,22552.93
224,3327,38,3,8459.49
